time,base_mean_relative_l2,base_q10,base_q90,lora_mean_relative_l2,lora_q10,lora_q90
3.228962818003913782e+01,6.407803073483291367e-01,3.386866230683653889e-01,8.995079648818573581e-01,2.846024873755209628e-01,1.316618093411218438e-01,5.164966832297483990e-01
3.238747553816047287e+01,6.447548663333048102e-01,3.406179021776181148e-01,8.997315860202683702e-01,2.876247056224474630e-01,1.327972999423349398e-01,5.164740405982145566e-01
3.248532289628180081e+01,6.488825154054678190e-01,3.425175559659673907e-01,9.002844572934102230e-01,2.907190248907243202e-01,1.339322803507548287e-01,5.165403447552445737e-01
3.258317025440312875e+01,6.531520958177992053e-01,3.443890379488082631e-01,9.011713443154759640e-01,2.938653398280767215e-01,1.350647636572819832e-01,5.166975206330622905e-01
3.268101761252445669e+01,6.575473933457447462e-01,3.462366858345388709e-01,9.023832995918609212e-01,2.970429304285648331e-01,1.361924135436547723e-01,5.169466214576093899e-01
3.277886497064579174e+01,6.620482679106285406e-01,3.480657244108178450e-01,9.039003306540582816e-01,3.002307976595085526e-01,1.373126032634839067e-01,5.172883149027643901e-01
3.287671232876711969e+01,6.666319863271135127e-01,3.498822474317254683e-01,9.056943656133846776e-01,3.034079801339332749e-01,1.384225450807393398e-01,5.177233617123259135e-01
3.297455968688844763e+01,6.712746452858900925e-01,3.516931814402150525e-01,9.077322471613026300e-01,3.065538799695600725e-01,1.395194950160793534e-01,5.182530599883535816e-01
3.307240704500978268e+01,6.759525635995287107e-01,3.535062366429260750e-01,9.099785064478160823e-01,3.096486412949147615e-01,1.406010305812850358e-01,5.188796354342661843e-01
3.317025440313111773e+01,6.806435290378398673e-01,3.553298508125146138e-01,9.123977132590065375e-01,3.126736318319596752e-01,1.416653890527919124e-01,5.196065656324906357e-01
3.326810176125244567e+01,6.853278048737279082e-01,3.571731308320249543e-01,9.149562653155156600e-01,3.156120687759427224e-01,1.427118416834130266e-01,5.204388334958977014e-01
3.336594911937377361e+01,6.899888300696632726e-01,3.590457922467796825e-01,9.176235579067086867e-01,3.184498010400624302e-01,1.437410669789936923e-01,5.213831105267127120e-01
3.346379647749510866e+01,6.946135789017878759e-01,3.609580901028596189e-01,9.229419506312167565e-01,3.211762130739878041e-01,1.447554765248959541e-01,5.224478741276060711e-01
3.356164383561643660e+01,6.991925760698064485e-01,3.629207257231080175e-01,9.302738055302262055e-01,3.237851594635780539e-01,1.457594429741215780e-01,5.236434649596048985e-01
3.365949119373776455e+01,7.037195904028271665e-01,3.649447066823641173e-01,9.373336313397789832e-01,3.262757877402489570e-01,1.467593844037302642e-01,5.249820904332443972e-01
