time,base_mean_relative_l2,base_q10,base_q90,lora_mean_relative_l2,lora_q10,lora_q90
3.463796477495107240e+01,8.939587766317622641e-01,7.153631303914093076e-01,1.151009623648665769e+00,3.166786706056871070e-01,9.621663596151948383e-02,6.703152204507090151e-01
3.473581213307240745e+01,8.961075088228585006e-01,7.198794653983672243e-01,1.149931866676733749e+00,3.213245529072128459e-01,9.709092794531046233e-02,6.772695140739390940e-01
3.483365949119373539e+01,8.982029285413257735e-01,7.244257170523850098e-01,1.148689883610920726e+00,3.259478054761034693e-01,9.793399029116182930e-02,6.841371054994305201e-01
3.493150684931506333e+01,9.002468671528006672e-01,7.289710262931322626e-01,1.147283742487518410e+00,3.305178162401712916e-01,9.873176548452174128e-02,6.882009667459242364e-01
3.502935420743639838e+01,9.022411289038180238e-01,7.334894886404799141e-01,1.145713680506914578e+00,3.350045259237323103e-01,9.946617838599063066e-02,6.897068063989999498e-01
3.512720156555773343e+01,9.041874522724733243e-01,7.379607907442344850e-01,1.143980599739926163e+00,3.393794463158711361e-01,1.001158609433721036e-01,6.906751520003867606e-01
3.522504892367906137e+01,9.060875679208875155e-01,7.423705108429418109e-01,1.142086580052250833e+00,3.436164487139494184e-01,1.006573001705656917e-01,6.911210930183894208e-01
3.532289628180038932e+01,9.079433495844220214e-01,7.467100770004909682e-01,1.140035378531969013e+00,3.476923135273932153e-01,1.010663685956329078e-01,6.910702864122899580e-01
3.542074363992171726e+01,9.097570295996659784e-01,7.509763857230208339e-01,1.137832885036457409e+00,3.515870675419749958e-01,1.013201616136459732e-01,6.905570493517897424e-01
3.551859099804305231e+01,9.115314315112017507e-01,7.551710925672372454e-01,1.135487504501808020e+00,3.552841587405137225e-01,1.013990321393786892e-01,6.896221852127147889e-01
3.561643835616438025e+01,9.132701648491934332e-01,7.592995973034347701e-01,1.133010438292266775e+00,3.587705288757025435e-01,1.012886806641909443e-01,6.883108024745443476e-01
3.571428571428570820e+01,9.149777339753264460e-01,7.633697606933523838e-01,1.130415839504346209e+00,3.620366416186787673e-01,1.009821303687111343e-01,6.866703096662033490e-01
3.581213307240704324e+01,9.166595312804372009e-01,7.673904092387608955e-01,1.127720821537655960e+00,3.650765109955118048e-01,1.015828459731898947e-01,6.847486936519119327e-01
3.590998043052837829e+01,9.183217092888206201e-01,7.713697088575323102e-01,1.124945306213294804e+00,3.678877543116067517e-01,1.027948456925925069e-01,6.825931256872229680e-01
3.600782778864970624e+01,9.199709501487388641e-01,7.753135175351125730e-01,1.122111707708817185e+00,3.704716700627832537e-01,1.039959664231925041e-01,6.802488949125041762e-01
3.610567514677103418e+01,9.216141697977542346e-01,7.792238577456169768e-01,1.119244461282346892e+00,3.728333187382064096e-01,1.051846834148187776e-01,6.777586421743946321e-01
